auction_id,image_key,url,brand,owner
493796,rf_wheel,https://s3.amazonaws.com/static-prod.acvauctions.com/vehicle_photos/c3PjjIyVPz.jpg,,akshay
493796,rr_wheel,https://s3.amazonaws.com/static-prod.acvauctions.com/vehicle_photos/84g4LXDqrA.jpg,,akshay
493796,lr_wheel,https://s3.amazonaws.com/static-prod.acvauctions.com/vehicle_photos/V9qv1evbKO.jpg,,akshay
493796,lf_wheel,https://s3.amazonaws.com/static-prod.acvauctions.com/vehicle_photos/3IVOHxjfV7.jpg,,akshay
493795,rf_wheel,https://s3.amazonaws.com/static-prod.acvauctions.com/vehicle_photos/gghWpW1t4U.jpg,,akshay
493795,rr_wheel,https://s3.amazonaws.com/static-prod.acvauctions.com/vehicle_photos/3wFQkO49CL.jpg,,akshay
493795,lr_wheel,https://s3.amazonaws.com/static-prod.acvauctions.com/vehicle_photos/buTpZcV4pC.jpg,,akshay
493795,lf_wheel,https://s3.amazonaws.com/static-prod.acvauctions.com/vehicle_photos/b5MOvufCUO.jpg,,akshay
493794,rf_wheel,https://s3.amazonaws.com/static-prod.acvauctions.com/vehicle_photos/wE8ZSAHZOI.jpg,,akshay
493794,rr_wheel,https://s3.amazonaws.com/static-prod.acvauctions.com/vehicle_photos/RZnUIQCx9r.jpg,,akshay
493794,lr_wheel,https://s3.amazonaws.com/static-prod.acvauctions.com/vehicle_photos/fsSqGHAADG.jpg,,akshay
493794,lf_wheel,https://s3.amazonaws.com/static-prod.acvauctions.com/vehicle_photos/9OWW3FDY64.jpg,,akshay
493793,rf_wheel,https://s3.amazonaws.com/static-prod.acvauctions.com/vehicle_photos/gGZQCtjaFh.jpg,,akshay
493793,rr_wheel,https://s3.amazonaws.com/static-prod.acvauctions.com/vehicle_photos/YzBC2gz5G9.jpg,,akshay
493793,lr_wheel,https://s3.amazonaws.com/static-prod.acvauctions.com/vehicle_photos/G4cw23rEGd.jpg,,akshay
493793,lf_wheel,https://s3.amazonaws.com/static-prod.acvauctions.com/vehicle_photos/y_CPrvP9xW.jpg,,akshay
493792,rf_wheel,https://s3.amazonaws.com/static-prod.acvauctions.com/vehicle_photos/mQIZzX0mk3.jpg,,akshay
